Product Name,Current Quantity,Threshold,Priority,Suggested Reorder,Supplier,Estimated Cost
Milk 1L,18,40,Critical,62,Amul Dairy Supplier,3596.0
Cooking Oil 1L,12,30,Critical,48,Fortune Foods Distributor,7920.0
Basmati Rice 5kg,60,25,Healthy,0,Fortune Foods Distributor,0.0
Laptop - Inspiron,3,10,Critical,17,Dell India,765000.0
Printer Ink Cartridge,5,20,Critical,35,HP India Distributor,42000.0
LED TV 43inch,8,15,Low Stock,22,LG Electronics,616000.0
SSD 512GB,2,12,Critical,22,Samsung Distributor,77000.0
Wireless Mouse,40,20,Healthy,0,Logitech Supplier,0.0
Refrigerator 300L,6,8,Low Stock,10,LG Electronics,320000.0
Bread Loaf,22,35,Low Stock,48,Reliance Vendor,2160.0
Notebook Pack,150,50,Healthy,0,Reliance Vendor,0.0
